                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.46631,                0.73046,                0.33594,                 1.0241,                0.98421,                0.98637,                0.98932,                0.92985,                0.98421,                0.98637,                0.98932,                0.91454,                0.30254,                 0.4055,                0.54594,                0.82959,              0.0012874,              0.0012874,              0.0012874
                     26,                0.46696,                0.68738,                 0.3265,                 1.0201,                0.98344,                0.99459,                0.99179,                0.95069,                 0.9826,                0.99375,                0.99179,                0.92368,                0.25954,                 0.4214,                0.32749,                0.77621,              0.0012709,              0.0012709,              0.0012709
                     27,                0.45865,                0.70286,                0.32788,                 1.0158,                0.98924,                0.99221,                0.98941,                0.94085,                  0.984,                0.98695,                0.98885,                0.91698,                0.30752,                0.47093,                0.29155,                0.82887,              0.0012544,              0.0012544,              0.0012544
                     28,                 0.4527,                0.70872,                 0.3278,                 1.0166,                0.98437,                0.98903,                0.98568,                0.94048,                0.98353,                0.98819,                0.98933,                0.93224,                0.26275,                0.47295,                0.22705,                0.78706,              0.0012379,              0.0012379,              0.0012379
                     29,                 0.4496,                0.69924,                0.32219,                 1.0137,                0.98715,                0.98347,                0.99048,                0.91713,                0.98715,                0.98347,                0.99025,                0.89295,                0.29745,                0.51253,                0.25266,                0.84324,              0.0012214,              0.0012214,              0.0012214
                     30,                0.44491,                0.68854,                0.31841,                 1.0086,                0.98657,                0.98947,                0.98998,                0.95196,                0.98657,                0.98947,                0.99128,                0.93623,                0.23629,                 0.3862,                0.22695,                0.76613,              0.0012049,              0.0012049,              0.0012049
                     31,                0.44896,                 0.6857,                0.31738,                 1.0094,                0.99386,                 0.9929,                0.99461,                0.95619,                0.99386,                 0.9929,                0.99461,                0.93923,                0.24218,                0.39862,                0.21291,                0.75928,              0.0011884,              0.0011884,              0.0011884
                     32,                0.45386,                0.67558,                0.31537,                 1.0151,                0.98233,                0.99415,                0.98965,                0.95502,                0.98233,                0.99415,                0.98965,                0.94321,                0.26219,                0.38139,                0.27919,                 0.7884,              0.0011719,              0.0011719,              0.0011719
                     33,                0.43921,                0.68942,                 0.3127,                 1.0083,                0.98215,                0.99042,                0.98963,                0.95059,                0.98222,                0.99039,                0.98963,                0.93055,                 0.2356,                0.48129,                0.30371,                0.75793,              0.0011554,              0.0011554,              0.0011554
                     34,                0.44663,                0.66896,                0.31378,                 1.0114,                0.98908,                0.99437,                0.98978,                0.94596,                0.98908,                0.99437,                0.98978,                0.94496,                0.21346,                0.35785,                0.23465,                0.73699,              0.0011389,              0.0011389,              0.0011389
                     35,                0.44247,                0.66311,                0.31217,                 1.0072,                0.99185,                0.98947,                0.98933,                0.94984,                0.99101,                0.98863,                0.98921,                0.93757,                  0.263,                0.38807,                0.23042,                0.78345,              0.0011224,              0.0011224,              0.0011224
                     36,                0.44358,                0.66503,                0.31244,                 1.0031,                0.98527,                0.99474,                0.99144,                0.95817,                0.98404,                0.99355,                0.99043,                0.94856,                0.22604,                0.39428,                0.20417,                0.74316,              0.0011059,              0.0011059,              0.0011059
                     37,                0.43843,                0.68679,                0.31359,                 1.0092,                0.99273,                 0.9829,                0.98073,                0.92789,                0.99273,                 0.9829,                0.97957,                0.90752,                0.25926,                0.59127,                0.24036,                0.79074,              0.0010894,              0.0010894,              0.0010894
                     38,                0.44604,                0.66786,                0.31222,                 1.0078,                0.99321,                0.99403,                0.99001,                0.94725,                0.99321,                0.99403,                0.99001,                0.93443,                0.24345,                0.43509,                0.38587,                0.77211,              0.0010729,              0.0010729,              0.0010729
                     39,                0.44136,                0.63902,                0.30844,                 1.0044,                0.98444,                 0.9897,                0.98991,                0.94808,                0.98444,                 0.9897,                0.98991,                0.93243,                 0.2492,                0.45043,                  0.376,                0.77453,              0.0010564,              0.0010564,              0.0010564
                     40,                0.42751,                0.64299,                0.30042,                 1.0031,                0.98825,                0.98947,                 0.9916,                0.95803,                0.98825,                0.98947,                 0.9916,                0.95413,                0.24084,                0.36592,                0.21754,                0.76063,              0.0010399,              0.0010399,              0.0010399
                     41,                0.42568,                0.66176,                0.29529,                0.99576,                0.98368,                0.99373,                0.98962,                0.94337,                0.98368,                0.99373,                0.98962,                0.93748,                0.22768,                0.40757,                 0.2207,                0.74792,              0.0010234,              0.0010234,              0.0010234
                     42,                0.42357,                0.63935,                0.30163,                 1.0002,                0.99447,                0.99417,                0.98974,                0.94018,                0.99447,                0.99417,                0.98974,                0.92347,                0.25926,                0.41384,                0.23004,                0.79004,              0.0010069,              0.0010069,              0.0010069
                     43,                0.42829,                0.65052,                0.29948,                0.99998,                0.99039,                0.98586,                0.98962,                0.95549,                0.98954,                0.98501,                0.98897,                0.95001,                0.23998,                0.36941,                0.22746,                 0.7637,             0.00099036,             0.00099036,             0.00099036
                     44,                 0.4329,                0.64275,                0.30006,                 1.0007,                0.95701,                0.98783,                0.98982,                0.95217,                0.95516,                0.98445,                0.98962,                0.89314,                0.24697,                0.86791,                0.26218,                0.76319,             0.00097386,             0.00097386,             0.00097386
                     45,                0.42426,                0.62312,                0.29338,                 1.0012,                0.98496,                0.98947,                 0.9892,                 0.9538,                0.98411,                0.98863,                0.98864,                0.93781,                0.22949,                0.36626,                0.24357,                0.75058,             0.00095736,             0.00095736,             0.00095736
                     46,                0.43686,                0.64569,                0.29965,                 1.0077,                0.99455,                0.98816,                0.99276,                0.95744,                0.99117,                0.98478,                0.99131,                0.94301,                0.24912,                0.48057,                0.21855,                0.77381,             0.00094085,             0.00094085,             0.00094085
                     47,                0.42178,                  0.618,                 0.2946,                0.99695,                0.98886,                0.98649,                0.98976,                0.95377,                0.98886,                0.98649,                0.98976,                0.94332,                 0.2209,                0.40289,                0.24092,                0.74729,             0.00092435,             0.00092435,             0.00092435
                     48,                0.41593,                 0.6347,                0.28817,                0.99306,                0.99949,                  0.989,                 0.9903,                0.95287,                0.99864,                0.98816,                0.99024,                0.94959,                0.21888,                0.37476,                0.17718,                0.73579,             0.00090785,             0.00090785,             0.00090785
                     49,                0.42395,                 0.6562,                0.29148,                 1.0013,                0.99569,                0.98947,                0.98952,                0.95913,                0.99569,                0.98947,                0.98952,                0.94327,                0.21574,                0.38153,                0.36469,                  0.732,             0.00089134,             0.00089134,             0.00089134
                     50,                0.42902,                0.66151,                0.28976,                 1.0023,                0.99348,                0.98812,                0.98998,                0.95432,                0.99348,                0.98812,                0.98998,                0.94832,                0.25221,                0.41338,                0.28583,                0.77347,             0.00087484,             0.00087484,             0.00087484
                     51,                0.42592,                0.64802,                0.29325,                0.99745,                 0.9876,                0.99474,                0.99008,                0.95869,                0.98676,                0.99389,                0.98928,                 0.9513,                0.22531,                0.35275,                0.25113,                0.75742,             0.00085834,             0.00085834,             0.00085834
                     52,                0.41612,                0.63738,                0.28762,                 0.9915,                0.99845,                0.98917,                0.98999,                 0.9393,                0.99761,                0.98832,                0.98952,                 0.9178,                0.24089,                0.50082,                0.21051,                0.76153,             0.00084184,             0.00084184,             0.00084184
                     53,                0.41796,                0.59735,                0.28592,                  0.994,                0.98901,                0.99303,                0.99268,                0.96062,                0.98817,                0.99218,                0.99261,                0.95228,                0.20461,                  0.363,                0.19254,                0.72627,             0.00082533,             0.00082533,             0.00082533
                     54,                0.41342,                0.63042,                0.28597,                0.99458,                0.99429,                0.99423,                0.99023,                0.95366,                0.99429,                0.99423,                0.99023,                0.94987,                0.22669,                0.35025,                0.18743,                0.74483,             0.00080883,             0.00080883,             0.00080883
                     55,                0.41486,                0.60906,                0.28567,                0.99072,                0.98834,                0.99136,                 0.9898,                0.94882,                0.98834,                0.99136,                 0.9898,                0.94013,                0.24223,                0.39665,                0.35725,                0.77853,             0.00079233,             0.00079233,             0.00079233
                     56,                0.42292,                0.61737,                0.28733,                 1.0005,                0.99885,                0.98947,                0.98806,                 0.9482,                0.99885,                0.98947,                0.98806,                0.94333,                0.24028,                0.34597,                0.29664,                0.76897,             0.00077582,             0.00077582,             0.00077582
                     57,                0.40928,                0.62065,                0.28399,                0.98709,                0.99778,                 0.9836,                0.99001,                0.96088,                0.99693,                0.98275,                0.98978,                0.94854,                0.20861,                0.33104,                 0.2295,                0.72808,             0.00075932,             0.00075932,             0.00075932
                     58,                 0.4131,                0.61628,                0.27848,                0.99388,                0.99985,                0.99447,                0.99432,                 0.9639,                0.99985,                0.99447,                0.99432,                0.95348,                0.21992,                0.35177,                0.18908,                0.74673,             0.00074282,             0.00074282,             0.00074282
                     59,                0.41117,                0.61788,                0.27978,                0.98841,                0.99298,                 0.9819,                0.98883,                0.94697,                0.99298,                 0.9819,                0.98883,                0.92635,                0.21868,                0.37615,                0.19156,                0.74011,             0.00072631,             0.00072631,             0.00072631
                     60,                0.40237,                0.60212,                0.27522,                 0.9858,                0.98361,                0.99474,                0.98969,                 0.9562,                0.98361,                0.99474,                0.98969,                0.93504,                0.20632,                0.39067,                0.18796,                0.72791,             0.00070981,             0.00070981,             0.00070981
                     61,                0.40598,                0.59282,                0.27777,                 0.9867,                0.99294,                0.99474,                 0.9945,                  0.967,                0.99294,                0.99474,                 0.9945,                 0.9531,                 0.2192,                0.33364,                0.20437,                0.74932,             0.00069331,             0.00069331,             0.00069331
                     62,                 0.4063,                0.60956,                0.27351,                0.98762,                0.99866,                0.98947,                0.99446,                0.96288,                0.99866,                0.98947,                0.99446,                0.95293,                 0.2115,                0.34087,                0.17703,                0.73441,              0.0006768,              0.0006768,              0.0006768
                     63,                0.41548,                0.61038,                 0.2795,                0.99482,                 0.9891,                0.99472,                0.99024,                0.96521,                 0.9891,                0.99472,                0.99024,                0.95358,                0.19915,                0.36202,                0.17516,                0.71907,              0.0006603,              0.0006603,              0.0006603
                     64,                0.40661,                0.60986,                0.27717,                0.98622,                0.99325,                0.98863,                0.99443,                0.96316,                0.99325,                0.98863,                0.99443,                0.94449,                 0.2182,                0.33052,                0.20016,                0.74293,              0.0006438,              0.0006438,              0.0006438
                     65,                0.40102,                0.58564,                0.27487,                0.98684,                  0.986,                0.99471,                0.98963,                0.95329,                  0.986,                0.99471,                0.98963,                0.94386,                0.23319,                 0.3557,                0.30453,                0.77164,             0.00062729,             0.00062729,             0.00062729
                     66,                0.40622,                0.61369,                0.27447,                0.99279,                0.98898,                0.99474,                0.98971,                0.96225,                0.98898,                0.99474,                0.98971,                0.95211,                0.19964,                0.34431,                0.26069,                0.72172,             0.00061079,             0.00061079,             0.00061079
                     67,                0.40776,                0.59968,                0.28044,                 0.9891,                0.99428,                0.99451,                0.99053,                0.96236,                0.99428,                0.99451,                0.99053,                0.95603,                0.21477,                0.32464,                0.19045,                  0.743,             0.00059429,             0.00059429,             0.00059429
                     68,                0.38769,                0.60144,                 0.2666,                0.97434,                 0.9943,                0.99474,                0.99045,                0.96308,                 0.9943,                0.99474,                0.99045,                0.95335,                 0.1999,                0.32591,                0.18242,                 0.7234,             0.00057778,             0.00057778,             0.00057778
                     69,                0.39775,                0.58993,                0.26892,                0.98094,                0.99396,                0.99474,                  0.992,                0.96222,                0.99396,                0.99474,                  0.992,                 0.9564,                0.21805,                0.32716,                0.18129,                 0.7327,             0.00056128,             0.00056128,             0.00056128
                     70,                0.40028,                 0.6135,                0.27113,                0.98703,                0.99327,                0.99453,                0.99009,                0.95844,                0.99327,                0.99453,                0.99009,                0.95265,                0.20491,                0.36477,                  0.176,                0.72156,             0.00054478,             0.00054478,             0.00054478
                     71,                0.39751,                 0.5725,                0.26614,                0.97757,                0.98844,                0.99472,                0.99041,                0.96133,                0.98844,                0.99472,                0.99041,                0.95224,                 0.2153,                0.33112,                0.18802,                0.73587,             0.00052827,             0.00052827,             0.00052827
                     72,                   0.38,                0.55617,                0.26003,                 0.9724,                0.98856,                0.99474,                0.98986,                0.95982,                0.98856,                0.99474,                0.98986,                0.94832,                0.20582,                0.33918,                 0.1998,                  0.733,             0.00051177,             0.00051177,             0.00051177
                     73,                0.39275,                0.57817,                0.26403,                0.97906,                0.99956,                0.99391,                0.99048,                 0.9617,                0.99956,                0.99391,                0.99048,                0.94972,                0.20198,                0.33046,                0.16888,                0.72102,             0.00049527,             0.00049527,             0.00049527
                     74,                 0.3933,                0.56078,                0.26377,                0.98015,                 0.9934,                0.99442,                0.98994,                0.96068,                 0.9934,                0.99442,                0.98994,                0.94915,                0.20693,                0.31478,                0.19442,                0.72641,             0.00047876,             0.00047876,             0.00047876
                     75,                0.39945,                0.59783,                0.27016,                0.98215,                0.99431,                0.99474,                0.99007,                0.95595,                0.99431,                0.99474,                0.99007,                0.94424,                0.23741,                0.34482,                0.20638,                0.76195,             0.00046226,             0.00046226,             0.00046226
